Country Code,Region,IncomeGroup,Country Name,2020,2021,2022,2023
ECS,Unknown,Unknown,Europe & Central Asia,923384672.0,924168763.0,920988359.0,923929755.0
ECU,Latin America & Caribbean,Upper middle income,Ecuador,17588595.0,17797737.0,18001000.0,18190484.0
EGY,Middle East & North Africa,Lower middle income,"Egypt, Arab Rep.",107465134.0,109262178.0,110990103.0,112716598.0
EMU,Unknown,Unknown,Euro area,346961127.0,346942960.0,348331552.0,350357398.0
ERI,Sub-Saharan Africa,Low income,Eritrea,3555868.0,3620312.0,3684032.0,3748901.0
ESP,Europe & Central Asia,High income,Spain,47365655.0,47415794.0,47778340.0,48373336.0
EST,Europe & Central Asia,High income,Estonia,1329522.0,1330932.0,1348840.0,1366188.0
ETH,Sub-Saharan Africa,Low income,Ethiopia,117190911.0,120283026.0,123379924.0,126527060.0
EUU,Unknown,Unknown,European Union,447692315.0,447178093.0,447370551.0,449476878.0
FCS,Unknown,Unknown,Fragile and conflict affected situations,979839336.0,1001870564.0,1019145355.0,1042703808.0
FIN,Europe & Central Asia,High income,Finland,5529543.0,5541017.0,5556106.0,5584264.0
FJI,East Asia & Pacific,Upper middle income,Fiji,920422.0,924610.0,929766.0,936375.0
FRA,Europe & Central Asia,High income,France,67571107.0,67764304.0,67971311.0,68170228.0
FRO,Europe & Central Asia,High income,Faroe Islands,52415.0,52889.0,53090.0,53270.0
FSM,East Asia & Pacific,Lower middle income,"Micronesia, Fed. Sts.",112106.0,113131.0,114164.0,115224.0
GAB,Sub-Saharan Africa,Upper middle income,Gabon,2292573.0,2341179.0,2388992.0,2436566.0
GBR,Europe & Central Asia,High income,United Kingdom,67081234.0,67026292.0,67791000.0,68350000.0
GEO,Europe & Central Asia,Upper middle income,Georgia,3722716.0,3708610.0,3712502.0,3760365.0
GHA,Sub-Saharan Africa,Lower middle income,Ghana,32180401.0,32833031.0,33475870.0,34121985.0
GIB,Europe & Central Asia,High income,Gibraltar,32709.0,32669.0,32649.0,32688.0
GIN,Sub-Saharan Africa,Lower middle income,Guinea,13205153.0,13531906.0,13859341.0,14190612.0
GMB,Sub-Saharan Africa,Low income,"Gambia, The",2573995.0,2639916.0,2705992.0,2773168.0
GNB,Sub-Saharan Africa,Low income,Guinea-Bissau,2015828.0,2060721.0,2105566.0,2150842.0
